Temp_min,Temp_max,DisO2_min,DisO2_max,pH_min,pH_max,Conductivity_min,Conductivity_max,N_min,N_max,Fecal_Col_min,Fecal_Col_max,Total_Coli_min,Total_Coli_max,BOD_avg,Type_RIVER,Type_LAKE ,Type_TANK ,Type_WETLAND ,Type_POND 
20.0,34.1,2.2,6.8,7.1,9.0,55.0,740.0,0.6,2.4,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,1.95,1,0,0,0,0
21.0,30.0,5.4,9.5,7.0,7.4,116.0,168.0,0.6,1.8,300.0,910.0,1100.0,2100.0,2.25,1,0,0,0,0
22.0,31.0,5.6,6.6,7.0,7.8,105.0,140.0,0.6,0.9,300.0,940.0,910.0,1600.0,2.4,1,0,0,0,0
20.0,31.0,6.2,10.8,7.2,7.6,128.0,171.0,0.6,1.0,300.0,910.0,1100.0,1500.0,2.3,1,0,0,0,0
25.0,25.0,7.8,7.8,7.1,7.1,205.0,205.0,0.3,0.32,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,1.4,1,0,0,0,0
26.0,26.0,8.6,8.6,7.3,7.3,207.0,207.0,0.3,0.32,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,2.2,1,0,0,0,0
26.0,26.0,5.3,5.3,7.6,7.6,292.0,292.0,0.3,2.4,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,4.3,1,0,0,0,0
20.003033750474025,28.2901023890785,5.2,5.2,7.2,7.2,301.0,301.0,0.3,4.5,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,3.5,1,0,0,0,0
20.003033750474025,28.2901023890785,5.4,5.4,7.3,7.3,321.0,321.0,0.3,0.9,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,3.3,1,0,0,0,0
20.0,31.0,0.3,0.8,7.2,7.8,480.0,562.0,2.0,3.0,610.0,3600.0,2000.0,4400.0,33.25,1,0,0,0,0
20.0,35.0,5.4,6.8,7.0,7.8,126.0,152.0,0.6,1.0,300.0,720.0,610.0,1500.0,2.0,1,0,0,0,0
22.0,27.0,4.6,8.4,7.2,8.0,125.0,204.0,0.7,1.0,300.0,720.0,720.0,1400.0,2.45,1,0,0,0,0
17.0,35.0,5.2,8.4,7.3,8.0,90.0,120.0,0.7,1.0,300.0,730.0,1100.0,2000.0,2.35,1,0,0,0,0
21.0,25.0,2.6,7.8,7.2,7.8,270.0,309.0,1.0,1.5,300.0,910.0,1100.0,2000.0,3.3,1,0,0,0,0
17.0,34.0,5.5,7.6,6.8,7.7,150.0,249.0,0.7,1.2,300.0,360.0,360.0,1400.0,2.25,1,0,0,0,0
17.0,33.0,6.0,7.5,7.2,7.9,170.0,246.0,0.7,1.0,360.0,910.0,720.0,1500.0,2.25,1,0,0,0,0
20.0,35.0,6.4,7.9,7.2,7.8,156.0,210.0,0.6,1.2,300.0,730.0,360.0,1100.0,2.0,1,0,0,0,0
